RX_ESP_elapsed_us,PC_time_us,UTC_Date,UTC_Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Temp,Roll,Pitch,Yaw,Lat,Lng,Speed_kmph,Alt_meters,Satellites,HDOP,Heading
351639486,1765370785397277,101225,12462500,-0.0078,0.006101,1.002201,-0.021744,0.049927,-0.002121,-31.797602,23.734869,31.899513,22.98,0.38,0.45,35.05,31.838895,34.821003,1.17,41.5,4,6.95,117.11
351643486,1765370785401277,101225,12462500,-0.007739,0.005734,1.00275,-0.014114,0.034668,-0.00975,-31.797602,23.734869,31.899513,22.98,0.39,0.45,35.07,31.838895,34.821003,1.17,41.5,4,6.95,117.11
351707486,1765370785465277,101225,12462500,-0.008349,0.006528,0.99921,0.153732,-0.148438,-0.047897,-31.797602,23.734869,31.899513,22.99,0.48,0.39,35.23,31.838895,34.821003,1.17,41.5,4,6.95,117.11
351711486,1765370785469277,101225,12462500,-0.008044,0.006711,0.999393,0.138473,-0.156067,-0.047897,-31.797602,23.734869,31.899513,22.98,0.48,0.38,35.24,31.838895,34.821003,1.17,41.5,4,6.95,117.11
351715486,1765370785473277,101225,12462500,-0.008166,0.00726,0.999637,0.138473,-0.156067,-0.025009,-31.797602,23.734869,31.899513,22.98,0.49,0.38,35.25,31.838895,34.821003,1.17,41.5,4,6.95,117.11
351719486,1765370785477277,101225,12462500,-0.008105,0.00726,1.000553,0.153732,-0.148438,-0.040268,-31.440325,22.296391,30.859312,22.98,0.49,0.38,35.26,31.838895,34.821003,1.17,41.5,4,6.95,117.11
351771486,1765370785529277,101225,12462500,-0.008777,0.006894,1.001163,0.130844,-0.049255,-0.070786,-31.440325,22.296391,30.859312,22.99,0.47,0.41,35.25,31.838895,34.821003,1.17,41.5,4,6.95,117.11
351775486,1765370785533277,101225,12462500,-0.008655,0.006833,1.002567,0.123215,-0.056885,-0.063156,-31.440325,22.296391,30.859312,22.99,0.47,0.41,35.25,31.838895,34.821003,1.17,41.5,4,6.95,117.11
351779486,1765370785537277,101225,12462500,-0.008349,0.006528,1.002506,0.138473,-0.102661,-0.055527,-31.440325,22.296391,30.859312,22.99,0.46,0.41,35.25,31.838895,34.821003,1.17,41.5,4,6.95,117.11
351783486,1765370785541277,101225,12462500,-0.008471,0.006772,1.001835,0.168991,-0.095032,-0.047897,-31.440325,22.296391,30.859312,22.99,0.46,0.41,35.25,31.838895,34.821003,1.17,41.5,4,6.95,117.11
351835486,1765370785593277,101225,12462500,-0.008594,0.006589,0.999332,0.077438,-0.011108,-0.040268,-31.440325,22.296391,30.859312,22.99,0.44,0.43,35.25,31.838895,34.821003,1.17,41.5,4,6.95,117.11
351839486,1765370785597277,101225,12462500,-0.008716,0.006284,0.999698,0.085068,-0.011108,-0.040268,-31.440325,22.296391,30.859312,22.99,0.44,0.43,35.25,31.838895,34.821003,1.17,41.5,4,6.95,117.11
351843486,1765370785601277,101225,12462500,-0.008838,0.006162,1.000492,0.06218,0.00415,-0.032639,-31.440325,22.296391,30.859312,22.99,0.44,0.43,35.25,31.838895,34.821003,1.17,41.5,4,6.95,117.11
351847486,1765370785605277,101225,12462500,-0.009204,0.006223,1.000614,0.06218,0.00415,-0.032639,-31.618963,22.4762,30.685946,22.99,0.44,0.44,35.25,31.838895,34.821003,1.17,41.5,4,6.95,117.11
351899486,1765370785657277,101225,12462500,-0.008532,0.006345,1.000431,0.001144,0.027039,-0.025009,-31.618963,22.4762,30.685946,23.0,0.43,0.45,35.26,31.838895,34.821003,1.17,41.5,4,6.95,117.11
351903486,1765370785661277,101225,12462500,-0.008777,0.006528,1.001163,0.008774,0.027039,-0.040268,-31.618963,22.4762,30.685946,23.0,0.42,0.45,35.26,31.838895,34.821003,1.17,41.5,4,6.95,117.11
351907486,1765370785665277,101225,12462500,-0.008532,0.006345,1.001346,0.008774,0.034668,-0.047897,-31.618963,22.4762,30.685946,23.0,0.42,0.45,35.26,31.838895,34.821003,1.17,41.5,4,6.95,117.11
351911486,1765370785669277,101225,12462500,-0.008227,0.006223,1.001529,0.008774,0.034668,-0.032639,-31.618963,22.4762,30.685946,23.0,0.42,0.45,35.26,31.838895,34.821003,1.17,41.5,4,6.95,117.11
351975486,1765370785733277,101225,12462500,-0.008166,0.007382,1.001529,0.06218,0.042297,-0.00975,-32.333515,22.116581,32.766346,22.99,0.41,0.46,35.26,31.838895,34.821003,1.17,41.5,4,6.95,117.11
351979486,1765370785737277,101225,12462500,-0.008044,0.007199,1.002445,0.05455,0.034668,0.013138,-32.333515,22.116581,32.766346,22.99,0.41,0.46,35.25,31.838895,34.821003,1.17,41.5,4,6.95,117.11
351983486,1765370785741277,101225,12462500,-0.008105,0.007016,1.002689,0.05455,0.027039,-0.002121,-32.333515,22.116581,32.766346,22.99,0.4,0.47,35.25,31.838895,34.821003,1.17,41.5,4,6.95,117.11
351987486,1765370785745277,101225,12462500,-0.008166,0.007138,1.00275,0.06218,0.027039,0.005508,-32.333515,22.116581,32.766346,22.99,0.4,0.47,35.24,31.838895,34.821003,1.17,41.5,4,6.95,117.11
352039486,1765370785797277,101225,12462500,-0.007922,0.007443,1.000492,0.046921,-0.003479,-0.025009,-32.333515,22.116581,32.766346,22.98,0.36,0.49,35.16,31.838895,34.821003,1.17,41.5,4,6.95,117.11
352043486,1765370785801277,101225,12462500,-0.008105,0.007321,1.000675,0.039291,-0.003479,-0.040268,-32.333515,22.116581,32.766346,22.98,0.36,0.5,35.16,31.838895,34.821003,1.17,41.5,4,6.95,117.11
352047486,1765370785805277,101225,12462500,-0.008349,0.007077,1.001224,0.031662,-0.033997,-0.032639,-32.333515,22.116581,32.766346,22.98,0.36,0.5,35.15,31.838895,34.821003,1.17,41.5,4,6.95,117.11
352051486,1765370785809277,101225,12462500,-0.008471,0.007016,1.001041,0.039291,-0.026367,-0.032639,-32.333515,22.116581,32.766346,22.98,0.35,0.5,35.15,31.838895,34.821003,1.17,41.5,4,6.95,117.11
352107486,1765370785865277,101225,12462600,-0.00841,0.00781,1.002018,-0.029373,-0.011108,0.013138,-32.333515,22.116581,32.766346,22.98,0.33,0.53,35.08,31.838902,34.821006,1.61,41.5,4,6.95,117.11
352111486,1765370785869277,101225,12462600,-0.008716,0.007504,1.002628,-0.021744,-0.011108,0.005508,-32.333515,22.116581,32.766346,22.99,0.33,0.53,35.07,31.838902,34.821006,1.61,41.5,4,6.95,117.11
352115486,1765370785873277,101225,12462600,-0.008594,0.007688,1.002567,-0.029373,-0.026367,-0.00975,-32.333515,22.116581,32.766346,22.99,0.33,0.53,35.07,31.838902,34.821006,1.61,41.5,4,6.95,117.11
352119486,1765370785877277,101225,12462600,-0.008532,0.007382,1.002445,-0.006485,-0.011108,-0.00975,-32.333515,22.116581,32.766346,22.99,0.33,0.53,35.06,31.838902,34.821006,1.61,41.5,4,6.95,117.11
352183486,1765370785941277,101225,12462600,-0.008594,0.007199,1.000858,0.008774,0.042297,0.005508,-32.333515,22.116581,32.766346,22.99,0.32,0.54,35.0,31.838902,34.821006,1.61,41.5,4,6.95,117.11
352187486,1765370785945277,101225,12462600,-0.00841,0.007138,1.000797,0.008774,0.034668,0.013138,-32.333515,22.116581,32.766346,22.99,0.32,0.54,34.99,31.838902,34.821006,1.61,41.5,4,6.95,117.11
352191486,1765370785949277,101225,12462600,-0.00841,0.007321,1.000614,0.016403,0.027039,0.020767,-32.333515,22.116581,32.766346,22.99,0.32,0.54,34.99,31.838902,34.821006,1.61,41.5,4,6.95,117.11
352247486,1765370786005277,101225,12462600,-0.008594,0.006589,1.001773,0.031662,0.034668,-0.00975,-31.261686,22.116581,32.07288,22.98,0.33,0.53,34.98,31.838902,34.821006,1.61,41.9,4,6.96,117.11
352251486,1765370786009277,101225,12462600,-0.008532,0.006528,1.001835,0.031662,0.01178,-0.00975,-31.261686,22.116581,32.07288,22.98,0.34,0.53,34.98,31.838902,34.821006,1.61,41.9,4,6.96,117.11
352255486,1765370786013277,101225,12462600,-0.008166,0.006223,1.001835,0.016403,-0.003479,-0.01738,-31.261686,22.116581,32.07288,22.98,0.34,0.53,34.98,31.838902,34.821006,1.61,41.9,4,6.96,117.11
352259486,1765370786017277,101225,12462600,-0.008044,0.006223,1.001651,0.016403,-0.003479,-0.00975,-31.261686,22.116581,32.07288,22.98,0.34,0.52,34.99,31.838902,34.821006,1.61,41.9,4,6.96,117.11
352299486,1765370786057277,101225,12462600,-0.008594,0.006711,0.999332,0.031662,0.034668,-0.01738,-31.261686,22.116581,32.07288,22.99,0.36,0.51,35.01,31.838902,34.821006,1.61,41.9,4,6.96,117.11
352303486,1765370786061277,101225,12462600,-0.008349,0.006772,0.999332,0.039291,0.019409,-0.002121,-31.261686,22.116581,32.07288,22.99,0.36,0.5,35.01,31.838902,34.821006,1.61,41.9,4,6.96,117.11
352307486,1765370786065277,101225,12462600,-0.008166,0.006589,0.99982,0.039291,0.019409,0.013138,-31.261686,22.116581,32.07288,22.99,0.36,0.5,35.01,31.838902,34.821006,1.61,41.9,4,6.96,117.11
352311486,1765370786069277,101225,12462600,-0.008105,0.007016,0.999393,0.039291,0.019409,-0.002121,-31.261686,22.116581,32.07288,22.98,0.36,0.5,35.01,31.838902,34.821006,1.61,41.9,4,6.96,117.11
352367486,1765370786125277,101225,12462600,-0.008227,0.006711,1.00159,-0.037003,-0.026367,-0.032639,-31.797602,21.936773,32.592979,22.98,0.37,0.49,35.01,31.838902,34.821006,1.61,41.9,4,6.96,117.11
352371486,1765370786129277,101225,12462600,-0.007983,0.006772,1.001651,-0.044632,-0.033997,-0.040268,-31.797602,21.936773,32.592979,22.98,0.36,0.49,35.01,31.838902,34.821006,1.61,41.9,4,6.96,117.11
352375486,1765370786133277,101225,12462600,-0.007739,0.006711,1.001651,-0.021744,-0.033997,-0.040268,-31.797602,21.936773,32.592979,22.99,0.36,0.49,35.0,31.838902,34.821006,1.61,41.9,4,6.96,117.11
352379486,1765370786137277,101225,12462600,-0.007495,0.006711,1.001285,-0.029373,-0.033997,-0.032639,-31.797602,21.936773,32.592979,22.98,0.36,0.49,35.0,31.838902,34.821006,1.61,41.9,4,6.96,117.11
352431486,1765370786189277,101225,12462600,-0.009021,0.006589,0.999698,0.016403,0.00415,-0.00975,-31.797602,21.936773,32.592979,22.97,0.34,0.5,34.96,31.838902,34.821006,1.61,41.9,4,6.96,117.11
352435486,1765370786193277,101225,12462600,-0.008838,0.006406,1.000003,0.008774,-0.003479,-0.00975,-31.797602,21.936773,32.592979,22.97,0.34,0.5,34.96,31.838902,34.821006,1.61,41.9,4,6.96,117.11
352439486,1765370786197277,101225,12462600,-0.009082,0.00665,0.999881,0.008774,-0.003479,0.005508,-31.797602,21.936773,32.592979,22.97,0.34,0.5,34.96,31.838902,34.821006,1.61,41.9,4,6.96,117.11
352443486,1765370786201277,101225,12462600,-0.008716,0.006894,0.999637,0.024033,-0.003479,-0.01738,-31.797602,21.936773,32.592979,22.97,0.34,0.5,34.96,31.838902,34.821006,1.61,41.9,4,6.96,117.11
352507486,1765370786265277,101225,12462600,-0.008532,0.006528,1.000309,0.016403,-0.041626,-0.055527,-31.618963,22.116581,31.379412,22.97,0.35,0.5,34.94,31.838902,34.821006,1.61,41.9,4,6.96,117.11
352511486,1765370786269277,101225,12462600,-0.008288,0.006406,0.99982,0.024033,-0.026367,-0.025009,-31.618963,22.116581,31.379412,22.97,0.35,0.5,34.94,31.838902,34.821006,1.61,41.9,4,6.96,117.11
352515486,1765370786273277,101225,12462600,-0.008594,0.006589,0.999576,0.031662,-0.033997,-0.01738,-31.618963,22.116581,31.379412,22.97,0.35,0.5,34.94,31.838902,34.821006,1.61,41.9,4,6.96,117.11
352519486,1765370786277277,101225,12462600,-0.008655,0.006772,0.999881,0.024033,-0.026367,-0.025009,-31.618963,22.116581,31.379412,22.97,0.35,0.5,34.94,31.838902,34.821006,1.61,41.9,4,6.96,117.11
352571486,1765370786329277,101225,12462600,-0.007739,0.007016,0.999698,0.001144,-0.011108,-0.032639,-31.618963,22.116581,31.379412,22.96,0.36,0.49,34.95,31.838902,34.821006,1.61,41.9,4,6.96,117.11
352575486,1765370786333277,101225,12462600,-0.007983,0.007321,0.999454,0.008774,-0.003479,-0.032639,-31.618963,22.116581,31.379412,22.96,0.37,0.49,34.95,31.838902,34.821006,1.61,41.9,4,6.96,117.11
352579486,1765370786337277,101225,12462600,-0.007922,0.00726,0.99982,0.016403,0.019409,-0.00975,-31.618963,22.116581,31.379412,22.96,0.37,0.49,34.95,31.838902,34.821006,1.61,41.9,4,6.96,117.11
352583486,1765370786341277,101225,12462600,-0.007861,0.007199,1.000309,0.016403,0.00415,-0.025009,-31.618963,22.116581,31.379412,22.96,0.37,0.49,34.95,31.838902,34.821006,1.61,41.9,4,6.96,117.11
352635486,1765370786393277,101225,12462600,-0.008899,0.007199,1.000003,0.016403,-0.003479,-0.002121,-31.083048,23.015629,30.859312,22.97,0.44,0.44,35.05,31.838902,34.821006,1.61,41.9,4,6.96,117.11
352639486,1765370786397277,101225,12462600,-0.008899,0.007565,1.000003,0.016403,-0.003479,0.005508,-31.083048,23.015629,30.859312,22.97,0.45,0.44,35.06,31.838902,34.821006,1.61,41.9,4,6.96,117.11
352643486,1765370786401277,101225,12462600,-0.009021,0.007382,0.999698,0.008774,0.01178,-0.002121,-31.083048,23.015629,30.859312,22.97,0.45,0.43,35.07,31.838902,34.821006,1.61,41.9,4,6.96,117.11
352647486,1765370786405277,101225,12462600,-0.008838,0.007382,0.999942,0.001144,0.019409,-0.00975,-31.083048,23.015629,30.859312,22.97,0.46,0.43,35.08,31.838902,34.821006,1.61,41.9,4,6.96,117.11
352711486,1765370786469277,101225,12462600,-0.008777,0.007382,0.999698,0.024033,0.049927,-0.01738,-31.083048,23.015629,30.859312,22.96,0.52,0.4,35.22,31.838902,34.821006,1.61,41.9,4,6.96,117.11
352715486,1765370786473277,101225,12462600,-0.008594,0.007199,0.999576,0.024033,0.042297,-0.01738,-31.083048,23.015629,30.859312,22.96,0.52,0.4,35.23,31.838902,34.821006,1.61,41.9,4,6.96,117.11
352719486,1765370786477277,101225,12462600,-0.008838,0.007077,0.999332,0.031662,0.034668,-0.01738,-31.083048,23.015629,30.859312,22.97,0.52,0.4,35.23,31.838902,34.821006,1.61,41.9,4,6.96,117.11
352723486,1765370786481277,101225,12462600,-0.00896,0.007382,0.99982,0.008774,0.042297,-0.00975,-31.083048,23.015629,30.859312,22.97,0.53,0.39,35.24,31.838902,34.821006,1.61,41.9,4,6.96,117.11
352775486,1765370786533277,101225,12462600,-0.008655,0.007932,1.002445,-0.029373,0.049927,-0.025009,-31.083048,23.015629,30.859312,22.98,0.55,0.38,35.34,31.838902,34.821006,1.61,41.9,4,6.96,117.11
352779486,1765370786537277,101225,12462600,-0.008777,0.007626,1.002262,0.001144,0.042297,-0.025009,-31.083048,23.015629,30.859312,22.97,0.56,0.38,35.34,31.838902,34.821006,1.61,41.9,4,6.96,117.11
352783486,1765370786541277,101225,12462600,-0.008716,0.007626,1.001163,0.024033,0.00415,-0.025009,-31.083048,23.015629,30.859312,22.97,0.56,0.38,35.35,31.838902,34.821006,1.61,41.9,4,6.96,117.11
352787486,1765370786545277,101225,12462600,-0.00841,0.008054,0.999271,0.046921,0.00415,-0.032639,-31.083048,23.015629,30.859312,22.97,0.56,0.38,35.36,31.838902,34.821006,1.61,41.9,4,6.96,117.11
352839486,1765370786597277,101225,12462600,-0.008655,0.006711,1.001102,0.024033,0.01178,0.020767,-31.083048,23.015629,30.859312,22.96,0.58,0.37,35.44,31.838902,34.821006,1.61,41.9,4,6.96,117.11
352843486,1765370786601277,101225,12462600,-0.008166,0.006711,1.001163,0.039291,0.01178,0.028397,-31.083048,23.015629,30.859312,22.96,0.58,0.37,35.45,31.838902,34.821006,1.61,41.9,4,6.96,117.11
352847486,1765370786605277,101225,12462600,-0.008044,0.006223,1.001041,0.031662,0.01178,0.036026,-31.618963,22.116581,32.419613,22.96,0.57,0.38,35.45,31.838902,34.821006,1.61,41.9,4,6.96,117.11
352851486,1765370786609277,101225,12462600,-0.008105,0.006284,1.001163,0.046921,0.01178,0.020767,-31.618963,22.116581,32.419613,22.96,0.56,0.38,35.44,31.838902,34.821006,1.61,41.9,4,6.96,117.11
352907486,1765370786665277,101225,12462600,-0.008532,0.006406,1.000003,0.031662,0.01178,0.005508,-31.618963,22.116581,32.419613,22.98,0.48,0.43,35.39,31.838902,34.821006,1.61,41.9,4,6.96,117.11
352911486,1765370786669277,101225,12462600,-0.008471,0.006711,1.000187,0.046921,0.034668,0.013138,-31.618963,22.116581,32.419613,22.97,0.47,0.43,35.38,31.838902,34.821006,1.61,41.9,4,6.96,117.11
352915486,1765370786673277,101225,12462600,-0.008655,0.006833,1.000553,0.039291,0.027039,0.013138,-31.618963,22.116581,32.419613,22.97,0.47,0.44,35.38,31.838902,34.821006,1.61,41.9,4,6.96,117.11
352919486,1765370786677277,101225,12462600,-0.008716,0.007138,1.000614,0.046921,0.00415,0.013138,-31.618963,22.116581,32.419613,22.98,0.47,0.44,35.37,31.838902,34.821006,1.61,41.9,4,6.96,117.11
352979486,1765370786737277,101225,12462600,-0.008838,0.007077,0.999454,-0.029373,0.088074,-0.025009,-32.154877,21.577152,31.899513,22.98,0.41,0.48,35.31,31.838902,34.821006,1.61,41.9,4,6.96,117.11
352983486,1765370786741277,101225,12462600,-0.008594,0.006772,1.001896,-0.044632,0.057556,-0.040268,-32.154877,21.577152,31.899513,22.98,0.4,0.49,35.3,31.838902,34.821006,1.61,41.9,4,6.96,117.11
352987486,1765370786745277,101225,12462600,-0.008349,0.006406,1.003605,-0.006485,0.065186,-0.025009,-32.154877,21.577152,31.899513,22.97,0.4,0.49,35.29,31.838902,34.821006,1.61,41.9,4,6.96,117.11
