RX_ESP_elapsed_us,PC_time_us,UTC_Date,UTC_Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Temp,Roll,Pitch,Yaw,Lat,Lng,Speed_kmph,Alt_meters,Satellites,HDOP,Heading,REC,FileName
726488,1766652725369722,0,0,-0.0029,0.0003,1.0002,-0.0053,-0.0564,0.0021,-35.7276,5.3943,39.8744,23.98,-0.11,0.18,8.12,0.0,0.0,0.0,0.0,0,0.0,0.0,1,/data_0006-0.
623730488,1766652725373722,0,0,-0.0027,0.0002,1.0001,-0.0129,-0.0411,-0.0055,-35.7276,5.3943,39.8744,23.98,-0.11,0.17,8.12,0.0,0.0,0.0,0.0,0,0.0,0.0,1,/data_0006-0.
623734491,1766652725377725,0,0,-0.0024,0.0003,0.9996,0.0024,-0.0411,-0.0131,-35.7276,5.3943,39.8744,23.98,-0.1,0.17,8.13,0.0,0.0,0.0,0.0,0,0.0,0.0,1,/data_0006-0.
623774488,1766652725417722,0,0,-0.0029,-0.0001,0.9994,0.0024,-0.0258,-0.0208,-35.7276,5.3943,39.8744,23.97,-0.04,0.16,8.16,0.0,0.0,0.0,0.0,0,0.0,0.0,1,/data_0006-0.
623778236,1766652725421470,0,0,-0.0029,0.0,0.9993,0.01,-0.0335,-0.0436,-35.7276,5.3943,39.8744,23.97,-0.04,0.16,8.16,0.0,0.0,0.0,0.0,0,0.0,0.0,1,/data_0006-0.
623782492,1766652725425726,0,0,-0.003,-0.0001,0.9998,0.0024,-0.0411,-0.036,-35.7276,5.3943,39.8744,23.98,-0.03,0.16,8.17,0.0,0.0,0.0,0.0,0,0.0,0.0,1,/data_0006-0.
623786488,1766652725429722,0,0,-0.0028,0.0,1.0,0.01,-0.0335,-0.036,-35.7276,5.3943,39.8744,23.98,-0.03,0.16,8.17,0.0,0.0,0.0,0.0,0,0.0,0.0,1,/data_0006-0.
623842488,1766652725485722,0,0,-0.0027,0.0002,0.9999,0.0481,-0.0106,0.0174,-33.584,5.0347,38.1407,23.99,0.02,0.16,8.21,0.0,0.0,0.0,0.0,0,0.0,0.0,1,/data_0006-0.
623846488,1766652725489722,0,0,-0.0026,0.0,1.0003,0.0329,-0.0258,0.0098,-33.584,5.0347,38.1407,23.98,0.02,0.16,8.21,0.0,0.0,0.0,0.0,0,0.0,0.0,1,/data_0006-0.
623850488,1766652725493722,0,0,-0.0027,-0.0001,1.0007,0.0405,-0.0335,0.0021,-33.584,5.0347,38.1407,23.98,0.02,0.16,8.21,0.0,0.0,0.0,0.0,0,0.0,0.0,1,/data_0006-0.
623854488,1766652725497722,0,0,-0.0027,-0.0,1.001,0.0405,-0.0411,-0.0284,-33.584,5.0347,38.1407,23.98,0.02,0.16,8.21,0.0,0.0,0.0,0.0,0,0.0,0.0,1,/data_0006-0.
623894488,1766652725537722,0,0,-0.0027,0.0,1.0001,0.0329,-0.0564,-0.0436,-33.584,5.0347,38.1407,23.97,0.04,0.15,8.23,0.0,0.0,0.0,0.0,0,0.0,0.0,1,/data_0006-0.
623898488,1766652725541722,0,0,-0.0027,0.0,1.0001,0.0405,-0.064,-0.0589,-33.584,5.0347,38.1407,23.97,0.04,0.15,8.23,0.0,0.0,0.0,0.0,0,0.0,0.0,1,/data_0006-0.
623902488,1766652725545722,0,0,-0.0027,0.0001,1.0001,0.0329,-0.0564,-0.0513,-33.584,5.0347,38.1407,23.97,0.04,0.15,8.23,0.0,0.0,0.0,0.0,0,0.0,0.0,1,/data_0006-0.
623906488,1766652725549722,0,0,-0.0023,0.0002,0.9998,0.0329,-0.0564,-0.0513,-33.584,5.0347,38.1407,23.97,0.04,0.15,8.24,0.0,0.0,0.0,0.0,0,0.0,0.0,1,/data_0006-0.
623959488,1766652725602722,0,0,-0.0027,0.0007,1.0003,0.0329,-0.0335,-0.0131,-33.584,5.0347,38.1407,23.97,0.05,0.15,8.26,0.0,0.0,0.0,0.0,0,0.0,0.0,1,/data_0006-0.
623963488,1766652725606722,0,0,-0.0027,0.0005,1.0001,0.0405,-0.0182,-0.036,-33.584,5.0347,38.1407,23.98,0.05,0.15,8.26,0.0,0.0,0.0,0.0,0,0.0,0.0,1,/data_0006-0.
623967488,1766652725610722,0,0,-0.0027,0.0005,1.0,0.0405,-0.0258,-0.0208,-33.9413,3.2366,39.1809,23.98,0.04,0.15,8.25,0.0,0.0,0.0,0.0,0,0.0,0.0,1,/data_0006-0.
623971488,1766652725614722,0,0,-0.0024,0.0004,1.0004,0.0329,-0.0258,-0.0131,-33.9413,3.2366,39.1809,23.98,0.02,0.15,8.24,0.0,0.0,0.0,0.0,0,0.0,0.0,1,/data_0006-0.
624015488,1766652725658722,0,0,-0.0027,0.0005,1.0006,0.0329,-0.0182,0.0327,-33.9413,3.2366,39.1809,23.98,-0.15,0.17,8.06,0.0,0.0,0.0,0.0,0,0.0,0.0,1,/data_0006-0.
624019488,1766652725662722,0,0,-0.0029,0.0007,1.0003,0.01,-0.0258,0.025,-33.9413,3.2366,39.1809,23.98,-0.16,0.17,8.04,0.0,0.0,0.0,0.0,0,0.0,0.0,1,/data_0006-0.
624023488,1766652725666722,0,0,-0.0027,0.0005,1.0003,0.0176,-0.0182,0.025,-33.9413,3.2366,39.1809,23.98,-0.17,0.17,8.03,0.0,0.0,0.0,0.0,0,0.0,0.0,1,/data_0006-0.
624027488,1766652725670722,0,0,-0.0027,0.0005,1.0003,0.0176,-0.0335,0.025,-33.9413,3.2366,39.1809,23.98,-0.18,0.17,8.01,0.0,0.0,0.0,0.0,0,0.0,0.0,1,/data_0006-0.
624075488,1766652725718722,0,0,-0.0031,-0.0002,0.9995,0.0481,-0.003,0.0021,-33.9413,3.2366,39.1809,23.98,-0.28,0.19,7.85,0.0,0.0,0.0,0.0,0,0.0,0.0,1,/data_0006-0.
624079234,1766652725722468,0,0,-0.0029,-0.0003,0.9992,0.0558,-0.0258,0.0098,-33.9413,3.2366,39.1809,23.98,-0.29,0.19,7.84,0.0,0.0,0.0,0.0,0,0.0,0.0,1,/data_0006-0.
624083262,1766652725726496,0,0,-0.0029,-0.0003,0.999,0.0405,-0.0182,-0.0055,-33.9413,3.2366,39.1809,23.97,-0.3,0.19,7.82,0.0,0.0,0.0,0.0,0,0.0,0.0,1,/data_0006-0.
624087235,1766652725730469,0,0,-0.0026,-0.0002,0.9991,0.0329,-0.0335,-0.0055,-33.9413,3.2366,39.1809,23.97,-0.3,0.19,7.81,0.0,0.0,0.0,0.0,0,0.0,0.0,1,/data_0006-0.
624135488,1766652725778722,0,0,-0.0028,0.0002,0.9992,0.0405,-0.0411,-0.0513,-33.4053,4.4952,39.0076,23.98,-0.21,0.18,7.81,0.0,0.0,0.0,0.0,0,0.0,0.0,1,/data_0006-0.
624139488,1766652725782722,0,0,-0.0029,0.0001,0.9988,0.0558,-0.0411,-0.0436,-33.4053,4.4952,39.0076,23.98,-0.2,0.18,7.81,0.0,0.0,0.0,0.0,0,0.0,0.0,1,/data_0006-0.
