Time_us,AccX_g,AccY_g,AccZ_g,GyroX_dps,GyroY_dps,GyroZ_dps
840306708.0,0.117432,0.078857,0.960693,-2.007634,-3.473282,-1.984733
840318574.0,0.125977,0.076416,0.959473,-2.21374,-5.396946,-1.885496
840330438.0,0.133301,0.086426,0.938232,-2.076336,-3.778626,-1.70229
840342309.0,0.123779,0.078125,0.937012,-1.954198,-3.603053,-1.977099
840354182.0,0.122803,0.079834,0.953857,-2.21374,-4.374046,-1.946565
840366047.0,0.129395,0.078613,0.942871,-2.229008,-4.801527,-1.938931
840377906.0,0.126953,0.079102,0.948242,-1.946565,-4.099236,-1.900763
840389773.0,0.121094,0.078125,0.948486,-1.877863,-3.70229,-1.938931
840401643.0,0.123291,0.077393,0.945068,-2.068702,-4.61832,-1.877863
840413510.0,0.128662,0.075928,0.940186,-1.923664,-4.580153,-1.89313
840425373.0,0.133545,0.075195,0.955566,-2.19084,-3.854962,-1.839695
840437244.0,0.12207,0.082031,0.946777,-1.946565,-3.755725,-1.740458
840449115.0,0.126221,0.080811,0.947998,-2.022901,-4.740458,-2.015267
840460975.0,0.133789,0.081055,0.944092,-1.923664,-4.251908,-1.916031
840472838.0,0.127197,0.08252,0.956543,-1.977099,-3.435115,-1.862595
840484715.0,0.130615,0.081787,0.954834,-2.030534,-4.389313,-1.908397
840496581.0,0.128174,0.077637,0.941162,-1.977099,-4.48855,-1.954198
840508447.0,0.127441,0.075684,0.939697,-1.870229,-3.557252,-1.80916
840520319.0,0.124268,0.080811,0.947021,-1.946565,-4.282443,-1.969466
840532190.0,0.127197,0.080078,0.951904,-2.221374,-4.374046,-1.923664
840544057.0,0.125977,0.079834,0.944824,-2.21374,-4.541985,-1.824427
840555916.0,0.130371,0.07666,0.953125,-1.900763,-4.137404,-1.946565
840567783.0,0.128906,0.080566,0.951172,-2.183206,-4.030534,-1.870229
840579652.0,0.12207,0.075195,0.94873,-2.076336,-4.496183,-1.992366
840591520.0,0.126465,0.077148,0.939697,-2.122137,-4.351145,-1.78626
840603398.0,0.129883,0.080322,0.945557,-2.091603,-3.748092,-2.076336
840615272.0,0.125,0.085205,0.947998,-2.259542,-4.389313,-1.748092
840627149.0,0.132812,0.084473,0.946777,-2.099237,-4.328244,-2.007634
840639028.0,0.123535,0.07373,0.945801,-2.022901,-3.908397,-1.908397
840650900.0,0.12085,0.075928,0.950928,-2.251908,-4.274809,-1.908397
840662770.0,0.128662,0.085449,0.942627,-2.160305,-4.519084,-1.900763
840674643.0,0.123779,0.078613,0.946777,-2.045802,-4.229008,-2.015267
840686507.0,0.122803,0.077393,0.947754,-2.221374,-3.709924,-1.885496
840698375.0,0.127441,0.078613,0.946777,-2.022901,-4.526718,-1.938931
840710249.0,0.125244,0.077637,0.957275,-1.961832,-4.251908,-2.015267
840722109.0,0.125977,0.080811,0.950928,-1.969466,-4.19084,-1.870229
