Time_us,AccX_g,AccY_g,AccZ_g,GyroX_dps,GyroY_dps,GyroZ_dps
294067445,0.059326,0.081787,0.952881,-1.801527,-3.610687,-1.702290
294079315,0.048828,0.077637,0.952148,-2.297710,-4.641222,-1.954198
294091188,0.059082,0.079834,0.955322,-1.992366,-3.870229,-1.832061
294103049,0.052002,0.081543,0.952881,-1.931298,-4.175572,-1.969466
294114908,0.059814,0.084229,0.947754,-2.083969,-4.190840,-1.847328
294126777,0.056396,0.075439,0.948486,-2.083969,-4.068702,-1.862595
294138641,0.048096,0.078857,0.953369,-1.961832,-4.137404,-2.083969
294150506,0.058594,0.076904,0.958252,-2.007634,-4.183206,-1.908397
294162370,0.056641,0.085693,0.951904,-1.900763,-4.480916,-1.877863
294174243,0.050293,0.076904,0.958984,-2.320611,-3.862595,-1.923664
294186107,0.064697,0.081787,0.952881,-2.083969,-4.496183,-1.702290
294197971,0.057129,0.078613,0.946533,-2.290076,-4.190840,-1.977099
294209833,0.056152,0.075928,0.949219,-1.969466,-4.000000,-1.702290
294221704,0.056396,0.084961,0.955078,-2.030534,-3.870229,-1.755725
294233576,0.055908,0.082520,0.952393,-2.229008,-4.190840,-1.595420
294245441,0.053223,0.087158,0.954346,-2.297710,-4.167939,-1.725191
294257310,0.052734,0.081299,0.959229,-2.374046,-3.816794,-1.862595
294269180,0.052979,0.087646,0.951904,-2.427481,-4.259542,-1.969466
294281045,0.055176,0.083008,0.954590,-2.748092,-4.267176,-1.709924
294292904,0.051514,0.077148,0.959229,-2.374046,-4.137404,-1.641221
294304770,0.056885,0.084473,0.964844,-2.404580,-4.030534,-1.656489
294316640,0.059570,0.072998,0.949219,-2.358779,-4.229008,-1.541985
294328508,0.055420,0.077393,0.951416,-2.519084,-4.152672,-1.709924
294340371,0.054932,0.083496,0.957275,-2.290076,-3.709924,-1.610687
294352242,0.050537,0.079346,0.955322,-2.541985,-3.984733,-1.740458
294364107,0.059082,0.076904,0.958008,-2.511450,-4.167939,-1.564885
294375968,0.055176,0.073730,0.955322,-2.206107,-3.908397,-1.748092
294387831,0.058350,0.075928,0.953125,-2.343511,-4.236641,-1.687023
294399704,0.056396,0.071533,0.956543,-2.343511,-4.244275,-1.847328
294411576,0.057861,0.072754,0.958496,-2.305344,-4.236641,-1.763359
294423445,0.048096,0.079346,0.953613,-2.083969,-4.152672,-1.954198
294435316,0.056641,0.074951,0.959473,-2.213740,-3.961832,-1.885496
294447188,0.057861,0.075928,0.950439,-2.244275,-4.083970,-1.885496
294459047,0.052246,0.079102,0.953857,-2.167939,-4.145038,-1.893130
294470907,0.061279,0.074707,0.950928,-2.000000,-4.251908,-1.885496
294482774,0.051514,0.076904,0.954590,-1.931298,-4.183206,-2.083969
294494640,0.060059,0.071777,0.962402,-2.099237,-4.068702,-2.007634
294506505,0.061523,0.073486,0.961426,-1.946565,-4.114504,-1.931298
294518374,0.059326,0.080566,0.959229,-2.030534,-4.274809,-2.038168
294530254,0.062744,0.080322,0.954346,-1.977099,-4.145038,-1.778626
294542115,0.052002,0.076904,0.955566,-1.870229,-4.236641,-1.931298
294553972,0.049561,0.089355,0.954346,-2.106870,-4.038168,-1.763359
294565837,0.064453,0.087891,0.960449,-2.083969,-4.190840,-1.763359
294577707,0.055908,0.082275,0.955322,-2.099237,-4.251908,-1.946565
